#P'#P#B#T#S#X#L#Q#F#H#C#A#K#E#R#U#V
0# #1#2# #7# # # #3# # # # # # # # 
1# # # # # # # # # # # # # # # # # 
2#13#2# #7# # # #3# # # # # # # # 
3# #14#2# #7# # # #3# # # # # # # # 
4# # #15# # # # # # # # # # # # # 
5# # # # # # # # # # # # # # # # # 
6# # # # # # # # # # # # # # # # # 
7# # # # # # # # # # # # # # # # # 
8# # # #22# # # # # #21# # # # # # # 
9# # # # # # # # # # # # # # # # # 
10# # # # # #25# # # # # # # #26#27#28#29
11# # # # # # # # # # # # # # # # # 
12# # # # # # # # # # # # # # # # # 
13# # # # # # # # # # # # # # # # # 
14# # # # # # # # # # # # # # # # # 
15# # # # # # # # # # # # # # # # # 
16# # # # # # # # # # # # # # # # # 
17# # # # # # # # # # # # # # # # # 
18# # # # # # # # # # # # # # # # # 
19# # # # # # # # # # # # # #39#40#41#42
20# # #50# #54# # # # # #49# # # # # # 
21# # # # # # # # # # # # # # # # # 
22# # # # # # # # # # # # # # # # # 
23# # # # # # # # # # # # # #60#27#28#29
24# # # # # # #61# # # # # # #62#63#64#65
25# # # # # # # # # # # # # # # # # 
26# # # # # # # # # # # # # # # # # 
27# # # # # # # # # # # # # # # # # 
28# # # # # # # # # # # # # # # # # 
29# # # # # # # # # # # # # # # # # 
30# # # # # # # # # # # # # # # # # 
31# # # # # # # # # # # # # # # # # 
32# # # # # # # # # # # # # # # # # 
33# # # # # # # # # # # # # # # # # 
34# # # # # # # # # # # # # # # # # 
35# # # # # # # # # # # # # #78#40#41#42
36# # # # # # # # # # # # # #79#40#41#42
37# # # # # # # # # # # # # # # # # 
38# # # # # # # # # # # # # # # # # 
39# # # # # # # # # # # # # # # # # 
40# # # # # # # # # # # # # # # # # 
41# # # # # # # # # # # # # # # # # 
42# # # # # # # # # # # # # # # # # 
43# # # # # # # # # # # # # # # # # 
44# # # # # # # # # # # # # # # # # 
45# # # # # # # # # # # # # # # # # 
46# # # # # # # # # # # # # # # # # 
47# # # # # # # # # # # # # # # # # 
48# # # # # # # # # # # # # #88#40#41#42
49# # # # # # # # # # # # # # # # # 
50# # #50# #54# # # # # #90# # # # # # 
51# # # #91# # # # # # # # # # # # # 
52# # # # # # # # # # # # # # # # # 
53# # # # # # # # # # # # # # # # # 
54# # # # # # # # # # # # # # # # # 
55# # # # # # # # # # # # # # # # # 
56# # # # # #96# # # # # # # #26#27#28#29
57# # # # # # # # # # # # # # # # # 
58# # # # # # # # # # # # # # # # # 
59# # # # # # # # # # # # # # # # # 
60# # # # # # # # # # # # # # # # # 
61# # # # # # # # # # # # # # # # # 
62# # # # # # # #102# # # # # # # # # 
63# # # # # # # # # # # # # # # # # 
64# # # # # # # # # # # # # # # # # 
65# # # # # # # # # # # # # # # # # 
66# # # # # # # # # # # # # # # # # 
67# # # # # # # # # # # # # # # # # 
68# # # # # # # # # # # # # # # # # 
69# # # # # # # # # # # # # # # # # 
70# # # # # # # # # # # # # # # # # 
71# # # # # # # # # # # # # #109#40#41#42
72# # # # # # # # # # # # # # # # # 
73# # # # # # # # # # # # # # #110#28#29
74# # # # # # # # # # # # # # # #111#29
75# # # # # # # # # # # # # # # # #112
76# # # # # # #113# # # # # # #62#63#64#65
77# # # # # # # # # # # # # # # # # 
78# # # # # # # # # # # # # # # # # 
79# # # # # # # # # # # # # # # # # 
80# # # # # # # # # # # # # # # # # 
81# # # # # # # # # # # # # # # # # 
82# # # # #117# # # # # # # # # # # # 
83# # # # # # # # # # # # # # #118#41#42
84# # # # # # # # # # # # # # # #119#42
85# # # # # # # # # # # # # # # # #120
86# # # # # # #121# # # # # # #62#63#64#65
87# # # # # # # # # # # # # # # # # 
88# # # # # # # # # # # # # # # # # 
89# # # # # # # # # # # # # # # # # 
90# # # # # # # # # # # # # # # # # 
91# # # # # # # # # # # # # # # # # 
92# # # # # # # # # # # # # #125#40#41#42
93# # #50# #54# # # # # #126# # # # # # 
94# # # # # # # # # # # # # #127#27#28#29
95# # # # # # #128# # # # # # #62#63#64#65
96# # # # # # # # # # # # # # # # # 
97# # # # # # # # # # # # # #130#40#41#42
98# # # # # # # # # # # # # # # # # 
99# # # #133# # # # # # # #132# # # # # 
100# # # # # # # # # # # # # # # # # 
101# # # # # # # # # # # # # # # # # 
102# # # # # # # # # # # # # # # # # 
103# # # # # # # # # # # # # # #135#64#65
104# # # # # # # # # # # # # #136#63#64#65
105# # # # # # # # # # # # # # # #137#65
106# # # # # # # # # # # # # # # # #138
107# # # # # # #139# # # # # # #62#63#64#65
108# # # # # # # # # # # # # # # # # 
109# # # # # # # # # # # # # # # # # 
110# # # # # # # # # # # # # # # # # 
111# # # # # # # # # # # # # # # # # 
112# # # # # # # # # # # # # # # # # 
113# # # # # # # # # # # # # # # # # 
114# # # # # # # # # # # # # # # # # 
115# # # # # # # # # # # # # # # # # 
116# # # # # # # # # # # # # # # # # 
117# # # # # # # # # # # # # # # # # 
118# # # # # # # # # # # # # # # # # 
119# # # # # # # # # # # # # # # # # 
120# # # # # # # # # # # # # # # # # 
121# # # # # # # # # # # # # # # # # 
122# # # # # # # # # # # # # # # # # 
123# # # # # # # # # # # # # # # # # 
124# # # # # # # # # # # # # # # # # 
125# # # # # # # # # # # # # # # # # 
126# # # # # # # # # # # # # # # # # 
127# # # # # # # # # # # # # # # # # 
128# # # # # # # # # # # # # # # # # 
129# # # # # # # # # # # # # # # # # 
130# # # # # # # # # # # # # # # # # 
131# # # # # # # # # # # # # # # # # 
132# # # # # # # # # # # # # # # # # 
133# # # # # # # # # # # # # # # # # 
134# # # # # # # # # # # # # # # # # 
135# # # # # # # # # # # # # # # # # 
136# # # # # # # #155# # # # # # # # # 
137# # # # # # # # # # # # # # # # # 
138# # # # # # # # # # # # # # # # # 
139# # # # # # # # # # # # # # # # # 
